ID,Name,Tracks
AL011851,UNNAMED,14,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
19061008,0600,,TS,11.3,-76.4,35,,,,,,,,,,,,,,
19061008,1200,,TS,11.3,-77.3,35,,,,,,,,,,,,,,
19061008,1800,,TS,11.3,-78.3,50,,,,,,,,,,,,,,
19061009,0000,,HU,11.3,-79.3,65,,,,,,,,,,,,,,
19061009,0600,,HU,11.3,-80.4,75,,,,,,,,,,,,,,
19061009,1200,,HU,11.5,-81.5,85,,,,,,,,,,,,,,
19061009,1800,,HU,11.7,-82.4,95,,,,,,,,,,,,,,
19061010,0000,,HU,12.1,-83.1,105,,,,,,,,,,,,,,
19061010,0600,,HU,12.6,-83.9,80,,,,,,,,,,,,,,
19061010,1200,,HU,13.0,-84.6,70,,,,,,,,,,,,,,
19061010,1800,,HU,13.2,-85.1,65,,,,,,,,,,,,,,
19061011,0000,,TS,13.4,-85.5,60,,,,,,,,,,,,,,
19061011,0600,,TS,13.7,-85.9,55,,,,,,,,,,,,,,
19061011,1200,,TS,14.0,-86.3,50,,,,,,,,,,,,,,
19061011,1800,,TS,14.4,-86.7,45,,,,,,,,,,,,,,
19061012,0000,,TS,14.7,-86.9,40,,,,,,,,,,,,,,
19061012,0600,,TS,15.1,-87.1,40,,,,,,,,,,,,,,
19061012,1200,,TS,15.5,-87.3,50,,,,,,,,,,,,,,
19061012,1800,,HU,15.8,-87.4,65,,,,,,,,,,,,,,
19061013,0000,,HU,16.1,-87.6,65,,,,,,,,,,,,,,
19061013,0600,,HU,16.4,-87.8,70,,,,,,,,,,,,,,
19061013,1200,,HU,16.7,-88.0,75,,,,,,,,,,,,,,
19061013,1800,,HU,16.9,-88.1,80,,,,,,,,,,,,,,
19061014,0000,,HU,17.1,-88.2,70,,,,,,,,,,,,,,
19061014,0600,,HU,17.4,-88.3,65,,,,,,,,,,,,,,
19061014,1200,,TS,17.7,-88.3,60,,,,,,,,,,,,,,
19061014,1800,,TS,17.9,-88.3,55,,,,,,,,,,,,,,
19061015,0000,,TS,18.1,-88.2,50,,,,,,,,,,,,,,
19061015,0600,,TS,18.3,-88.1,50,,,,,,,,,,,,,,
19061015,1200,,TS,18.5,-88.0,50,,,,,,,,,,,,,,
19061015,1800,,TS,18.8,-87.8,50,,,,,,,,,,,,,,
19061016,0000,,TS,19.1,-87.6,50,,,,,,,,,,,,,,
19061016,0600,,TS,19.3,-87.3,60,,,,,,,,,,,,,,
19061016,1200,,HU,19.5,-87.0,70,,,,,,,,,,,,,,
19061016,1800,,HU,19.8,-86.3,80,,,,,,,,,,,,,,
19061017,0000,,HU,20.0,-85.7,90,,,,,,,,,,,,,,
19061017,0600,,HU,20.3,-85.1,100,,,,,,,,,,,,,,
19061017,1200,,HU,20.7,-84.0,105,,,,,,,,,,,,,,
19061017,1800,,HU,21.5,-82.7,105,,,,,,,,,,,,,,
19061018,0000,,HU,22.6,-82.1,105,,,,,,,,,,,,,,
19061018,0600,,HU,23.9,-81.6,105,,,,,,,,,,,,,,
19061018,1000,L,HU,24.7,-81.1,105,,,,,,,,,,,,,,
19061018,1200,L,HU,25.3,-80.7,105,953,,,,,,,,,,,,,
19061018,1800,,HU,26.6,-79.5,95,,,,,,,,,,,,,,
19061019,0000,,HU,27.9,-78.6,90,,,,,,,,,,,,,,
19061019,0600,,HU,29.0,-78.1,85,,,,,,,,,,,,,,
19061019,1200,,HU,30.0,-78.0,80,,,,,,,,,,,,,,
19061019,1800,,HU,30.5,-78.0,80,,,,,,,,,,,,,,
19061020,0000,,HU,30.9,-78.0,75,,,,,,,,,,,,,,
19061020,0600,,HU,31.4,-78.1,75,,,,,,,,,,,,,,
19061020,1200,,HU,31.7,-78.3,70,,,,,,,,,,,,,,
19061020,1800,,HU,32.1,-79.3,70,,,,,,,,,,,,,,
19061021,0000,,TS,31.7,-80.4,60,,,,,,,,,,,,,,
19061021,0600,,TS,30.7,-81.2,50,,,,,,,,,,,,,,
19061021,0900,L,TS,30.0,-81.4,50,,,,,,,,,,,,,,
19061021,1200,,TS,29.5,-81.5,40,,,,,,,,,,,,,,
19061021,1800,,TS,29.0,-81.5,35,,,,,,,,,,,,,,
19061022,0000,,TD,28.3,-81.6,30,,,,,,,,,,,,,,
19061022,0600,,TD,27.3,-81.7,30,,,,,,,,,,,,,,
19061022,1200,,TD,26.0,-82.0,25,,,,,,,,,,,,,,
19061022,1800,,TD,24.9,-82.8,25,,,,,,,,,,,,,,
19061023,0000,,TD,24.0,-83.8,25,,,,,,,,,,,,,,
19061023,0600,,TD,23.1,-84.8,25,,,,,,,,,,,,,,
19061023,1200,,TD,22.3,-85.7,25,,,,,,,,,,,,,,
19061023,1800,,TD,21.5,-86.6,25,,,,,,,,,,,,,,
ID,Name,Tracks
AL091906,UNNAMED,15,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
19061014,0600,,TS,33.7,-62.0,35,,,,,,,,,,,,,,
19061014,1200,,TS,33.7,-63.5,35,,,,,,,,,,,,,,
19061014,1800,,TS,33.7,-65.1,35,,,,,,,,,,,,,,
19061015,0000,,TS,33.6,-66.9,40,,,,,,,,,,,,,,
19061015,0600,,TS,33.4,-68.2,40,,,,,,,,,,,,,,
19061015,1200,,TS,33.2,-69.7,45,,,,,,,,,,,,,,
19061015,1800,,TS,32.7,-71.4,45,,,,,,,,,,,,,,
19061016,0000,,TS,32.1,-73.1,45,,,,,,,,,,,,,,
19061016,0600,,TS,31.2,-74.9,45,,,,,,,,,,,,,,
19061016,1200,,TS,30.5,-76.5,45,,,,,,,,,,,,,,
19061016,1800,,TS,30.1,-77.3,40,,,,,,,,,,,,,,
19061017,0000,,TS,29.9,-78.0,40,,,,,,,,,,,,,,
19061017,0600,,TS,29.6,-78.7,35,,,,,,,,,,,,,,
19061017,1200,,TD,29.3,-79.5,30,,,,,,,,,,,,,,
19061017,1800,,TD,28.8,-80.6,25,,,,,,,,,,,,,,
ID,Name,Tracks
AL101906,UNNAMED,23,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
19061015,0600,,TS,21.0,-69.4,35,,,,,,,,,,,,,,
19061015,1200,,TS,21.7,-70.0,35,,,,,,,,,,,,,,
19061015,1800,,TS,22.7,-70.7,35,,,,,,,,,,,,,,
19061016,0000,,TS,23.9,-71.3,35,,,,,,,,,,,,,,
19061016,0600,,TS,25.2,-71.6,35,,,,,,,,,,,,,,
19061016,1200,,TS,26.2,-71.3,35,,,,,,,,,,,,,,
19061016,1800,,TS,27.1,-71.0,35,,,,,,,,,,,,,,
19061017,0000,,TS,27.8,-70.4,35,,,,,,,,,,,,,,
19061017,0600,,TS,28.2,-69.8,35,,,,,,,,,,,,,,
19061017,1200,,TS,28.5,-69.3,35,,,,,,,,,,,,,,
19061017,1800,,TS,28.8,-68.5,35,,,,,,,,,,,,,,
19061018,0000,,TS,29.0,-67.7,40,,,,,,,,,,,,,,
19061018,0600,,TS,29.2,-66.9,40,,,,,,,,,,,,,,
19061018,1200,,TS,29.3,-66.0,45,,,,,,,,,,,,,,
19061018,1800,,TS,29.3,-65.0,45,,,,,,,,,,,,,,
19061019,0000,,TS,29.3,-64.0,40,,,,,,,,,,,,,,
19061019,0600,,TS,29.3,-63.0,40,,,,,,,,,,,,,,
19061019,1200,,TS,29.3,-62.0,35,,,,,,,,,,,,,,
19061019,1800,,TS,29.3,-61.0,35,,,,,,,,,,,,,,
19061020,0000,,TD,29.2,-60.0,30,,,,,,,,,,,,,,
19061020,0600,,TD,29.1,-59.0,30,,,,,,,,,,,,,,
19061020,1200,,TD,29.0,-58.0,25,,,,,,,,,,,,,,
19061020,1800,,TD,28.9,-57.1,25,,,,,,,,,,,,,,
ID,Name,Tracks
AL111906,UNNAMED,22,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
19061105,0000,,TD,18.5,-82.5,30,,,,,,,,,,,,,,
19061105,0600,,TD,19.0,-82.5,30,,,,,,,,,,,,,,
19061105,1200,,TS,19.5,-82.5,35,,,,,,,,,,,,,,
19061105,1800,,TS,19.9,-82.4,40,,,,,,,,,,,,,,
19061106,0000,,TS,20.3,-82.1,45,,,,,,,,,,,,,,
19061106,0600,,TS,20.7,-81.8,50,,,,,,,,,,,,,,
19061106,1200,,TS,21.0,-81.5,55,,,,,,,,,,,,,,
19061106,1800,,TS,21.3,-81.0,60,,,,,,,,,,,,,,
19061107,0000,,HU,21.5,-80.5,65,,,,,,,,,,,,,,
19061107,0600,,HU,21.7,-80.0,70,,,,,,,,,,,,,,
19061107,1200,,TS,22.0,-79.3,60,,,,,,,,,,,,,,
19061107,1800,,TS,22.4,-78.4,50,,,,,,,,,,,,,,
19061108,0000,,TS,22.7,-77.6,45,,,,,,,,,,,,,,
19061108,0600,,TS,23.0,-76.6,40,,,,,,,,,,,,,,
19061108,1200,,TS,23.3,-75.7,35,,,,,,,,,,,,,,
19061108,1800,,TS,23.6,-74.8,35,,,,,,,,,,,,,,
19061109,0000,,TS,23.9,-73.9,35,,,,,,,,,,,,,,
19061109,0600,,TS,24.2,-73.0,35,,,,,,,,,,,,,,
19061109,1200,,TS,24.5,-72.3,35,,,,,,,,,,,,,,
19061109,1800,,TS,24.8,-71.5,35,,,,,,,,,,,,,,
19061110,0000,,EX,25.1,-70.5,30,,,,,,,,,,,,,,
19061110,0600,,EX,25.5,-69.5,30,,,,,,,,,,,,,,
ID,Name,Tracks
AL011907,UNNAMED,27,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
19070624,1200,,TS,16.0,-78.0,35,,,,,,,,,,,,,,
19070624,1800,,TS,16.1,-78.8,35,,,,,,,,,,,,,,
19070625,0000,,TS,16.4,-79.7,35,,,,,,,,,,,,,,
19070625,0600,,TS,16.7,-80.6,35,,,,,,,,,,,,,,
19070625,1200,,TS,17.0,-81.5,35,,,,,,,,,,,,,,
19070625,1800,,TS,17.7,-82.4,35,,,,,,,,,,,,,,
19070626,0000,,TS,18.6,-83.4,35,,,,,,,,,,,,,,
19070626,0600,,TS,19.6,-84.3,35,,,,,,,,,,,,,,
19070626,1200,,TS,20.6,-85.3,40,,,,,,,,,,,,,,
19070626,1800,,TS,21.8,-86.2,40,,,,,,,,,,,,,,
19070627,0000,,TS,22.9,-87.1,45,,,,,,,,,,,,,,
19070627,0600,,TS,24.0,-88.0,45,,,,,,,,,,,,,,
19070627,1200,,TS,25.2,-88.9,45,,,,,,,,,,,,,,
19070627,1800,,TS,26.2,-89.4,45,,,,,,,,,,,,,,
19070628,0000,,TS,27.0,-89.6,45,,,,,,,,,,,,,,
19070628,0600,,TS,27.6,-89.4,45,,,,,,,,,,,,,,
19070628,1200,,TS,28.3,-89.0,50,,,,,,,,,,,,,,
19070628,1800,,TS,29.3,-87.8,50,,,,,,,,,,,,,,
19070628,2300,L,TS,30.3,-85.9,50,,,,,,,,,,,,,,
19070629,0000,,TS,30.3,-85.8,50,,,,,,,,,,,,,,
19070629,0600,,TS,30.8,-83.5,45,,,,,,,,,,,,,,
19070629,1200,,TS,31.8,-80.8,55,,,,,,,,,,,,,,
19070629,1800,,EX,34.0,-78.0,50,,,,,,,,,,,,,,
19070630,0000,,EX,36.5,-76.0,45,,,,,,,,,,,,,,
19070630,0600,,EX,39.2,-73.3,40,,,,,,,,,,,,,,
19070630,1200,,EX,42.0,-70.5,35,,,,,,,,,,,,,,
19070630,1800,,EX,45.0,-67.5,30,,,,,,,,,,,,,,
ID,Name,Tracks
AL021907,UNNAMED,23,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
19070918,1200,,TD,25.0,-79.0,30,,,,,,,,,,,,,,
19070918,1800,,TD,25.5,-80.3,30,,,,,,,,,,,,,,
19070919,0000,,TD,25.9,-81.6,30,,,,,,,,,,,,,,
19070919,0600,,TS,26.3,-82.8,35,,,,,,,,,,,,,,
19070919,1200,,TS,26.7,-84.0,35,,,,,,,,,,,,,,
19070919,1800,,TS,27.1,-85.0,35,,,,,,,,,,,,,,
19070920,0000,,TS,27.5,-85.8,40,,,,,,,,,,,,,,
19070920,0600,,TS,27.9,-86.4,40,,,,,,,,,,,,,,
19070920,1200,,TS,28.3,-87.0,40,,,,,,,,,,,,,,
19070920,1800,,TS,28.7,-87.6,40,,,,,,,,,,,,,,
19070921,0000,,TS,29.1,-88.2,40,,,,,,,,,,,,,,
19070921,0600,,TS,29.5,-88.7,40,,,,,,,,,,,,,,
19070921,1200,,TS,30.0,-89.0,40,,,,,,,,,,,,,,
19070921,1700,L,TS,30.4,-88.9,40,,,,,,,,,,,,,,
19070921,1800,,TS,30.5,-88.9,35,,,,,,,,,,,,,,
19070922,0000,,TS,31.0,-88.8,35,,,,,,,,,,,,,,
19070922,0600,,TS,31.5,-88.4,35,,,,,,,,,,,,,,
19070922,1200,,TS,32.1,-87.6,35,,,,,,,,,,,,,,
19070922,1800,,EX,32.9,-86.3,35,,,,,,,,,,,,,,
19070923,0000,,EX,33.8,-84.7,35,,,,,,,,,,,,,,
19070923,0600,,EX,34.7,-83.0,35,,,,,,,,,,,,,,
19070923,1200,,EX,35.7,-81.3,35,,,,,,,,,,,,,,
19070923,1800,,EX,36.8,-79.6,30,,,,,,,,,,,,,,
ID,Name,Tracks
AL031907,UNNAMED,13,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
19070927,0600,,TS,22.3,-94.1,35,,,,,,,,,,,,,,
19070927,1200,,TS,23.3,-93.3,35,,,,,,,,,,,,,,
19070927,1800,,TS,24.5,-92.5,35,,,,,,,,,,,,,,
19070928,0000,,TS,25.7,-91.3,35,,,,,,,,,,,,,,
19070928,0600,,TS,27.0,-90.0,35,,,,,,,,,,,,,,
19070928,1200,,TS,28.3,-88.5,40,,,,,,,,,,,,,,
19070928,1800,,TS,29.6,-86.6,45,,,,,,,,,,,,,,
19070928,2000,L,TS,30.1,-85.7,45,,,,,,,,,,,,,,
19070929,0000,,TS,30.9,-84.3,40,,,,,,,,,,,,,,
19070929,0600,,TS,31.8,-81.9,35,,,,,,,,,,,,,,
19070929,1200,,TS,32.7,-79.0,35,,,,,,,,,,,,,,
19070929,1800,,EX,34.0,-75.5,30,,,,,,,,,,,,,,
19070930,0000,,EX,35.5,-71.5,30,,,,,,,,,,,,,,
ID,Name,Tracks
AL041907,UNNAMED,12,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
19071017,0600,,TS,26.3,-67.4,45,,,,,,,,,,,,,,
19071017,1200,,TS,26.4,-66.0,45,,,,,,,,,,,,,,
19071017,1800,,TS,26.8,-64.6,45,,,,,,,,,,,,,,
19071018,0000,,TS,27.5,-63.2,45,,,,,,,,,,,,,,
19071018,0600,,TS,28.3,-61.8,45,,,,,,,,,,,,,,
19071018,1200,,TS,29.0,-60.5,45,,,,,,,,,,,,,,
19071018,1800,,TS,30.4,-59.4,45,,,,,,,,,,,,,,
19071019,0000,,TS,31.7,-58.2,45,,,,,,,,,,,,,,
19071019,0600,,TS,32.8,-57.3,45,,,,,,,,,,,,,,
19071019,1200,,TS,34.0,-56.0,45,,,,,,,,,,,,,,
19071019,1800,,EX,35.6,-54.0,40,,,,,,,,,,,,,,
19071020,0000,,EX,37.6,-49.1,40,,,,,,,,,,,,,,
ID,Name,Tracks
AL051907,UNNAMED,28,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
19071106,0000,,TS,31.5,-39.7,35,,,,,,,,,,,,,,
19071106,0600,,TS,30.8,-39.9,35,,,,,,,,,,,,,,
19071106,1200,,TS,30.0,-40.0,35,,,,,,,,,,,,,,
19071106,1800,,TS,29.5,-40.1,35,,,,,,,,,,,,,,
19071107,0000,,TS,28.9,-40.2,35,,,,,,,,,,,,,,
19071107,0600,,TS,28.2,-40.3,35,,,,,,,,,,,,,,
19071107,1200,,TS,27.5,-40.5,35,,,,,,,,,,,,,,
19071107,1800,,TS,27.2,-40.9,35,,,,,,,,,,,,,,
19071108,0000,,TS,26.9,-41.4,40,,,,,,,,,,,,,,
19071108,0600,,TS,26.7,-41.9,40,,,,,,,,,,,,,,
19071108,1200,,TS,26.7,-42.5,40,,,,,,,,,,,,,,
19071108,1800,,TS,27.2,-43.5,40,,,,,,,,,,,,,,
19071109,0000,,TS,28.1,-44.0,40,,,,,,,,,,,,,,
19071109,0600,,TS,29.1,-44.2,40,,,,,,,,,,,,,,
19071109,1200,,TS,30.0,-44.5,40,,,,,,,,,,,,,,
19071109,1800,,TS,30.8,-44.7,40,,,,,,,,,,,,,,
19071110,0000,,TS,31.8,-45.0,40,,,,,,,,,,,,,,
19071110,0600,,TS,32.6,-45.4,40,,,,,,,,,,,,,,
19071110,1200,,TS,33.5,-46.0,40,,,,,,,,,,,,,,
19071110,1800,,TS,34.1,-46.4,40,,,,,,,,,,,,,,
19071111,0000,,TS,34.7,-46.9,40,,,,,,,,,,,,,,
19071111,0600,,TS,35.4,-47.6,40,,,,,,,,,,,,,,
19071111,1200,,TS,36.5,-48.0,40,,,,,,,,,,,,,,
19071111,1800,,TS,37.7,-48.0,40,,,,,,,,,,,,,,
19071112,0000,,TS,38.7,-47.3,35,,,,,,,,,,,,,,
19071112,0600,,TS,39.6,-46.7,35,,,,,,,,,,,,,,
19071112,1200,,TS,40.5,-46.0,35,,,,,,,,,,,,,,
19071112,1800,,EX,41.7,-45.0,35,,,,,,,,,,,,,,
ID,Name,Tracks
AL011908,UNNAMED,14,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
19080306,1200,,TS,23.8,-60.2,50,,,,,,,,,,,,,,
19080306,1800,,TS,22.7,-60.7,55,,,,,,,,,,,,,,
19080307,0000,,HU,21.6,-61.1,65,,,,,,,,,,,,,,
19080307,0600,,HU,20.6,-61.5,70,,,,,,,,,,,,,,
19080307,1200,,HU,19.7,-61.9,80,,,,,,,,,,,,,,
19080307,1800,,HU,18.8,-62.2,85,,,,,,,,,,,,,,
19080308,0000,,HU,18.0,-62.5,85,,,,,,,,,,,,,,
19080308,0600,,HU,17.3,-62.8,70,,,,,,,,,,,,,,
19080308,1200,,HU,16.6,-63.1,65,,,,,,,,,,,,,,
19080308,1800,,HU,16.0,-63.4,65,,,,,,,,,,,,,,
19080309,0000,,HU,15.4,-63.7,65,,,,,,,,,,,,,,
19080309,0600,,TS,14.9,-64.0,50,,,,,,,,,,,,,,
19080309,1200,,TS,14.4,-64.2,40,,,,,,,,,,,,,,
19080309,1800,,TS,13.8,-64.6,35,,,,,,,,,,,,,,
ID,Name,Tracks
AL021908,UNNAMED,32,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
19080524,1200,,TD,21.0,-71.7,30,,,,,,,,,,,,,,
19080524,1800,,TD,21.7,-72.0,30,,,,,,,,,,,,,,
19080525,0000,,TD,22.4,-72.3,30,,,,,,,,,,,,,,
19080525,0600,,TD,23.3,-72.8,30,,,,,,,,,,,,,,
19080525,1200,,TD,24.0,-73.5,30,,,,,,,,,,,,,,
19080525,1800,,TD,24.7,-74.3,30,,,,,,,,,,,,,,
19080526,0000,,TS,25.4,-75.0,35,,,,,,,,,,,,,,
19080526,0600,,TS,26.0,-75.6,35,,,,,,,,,,,,,,
19080526,1200,,TS,26.7,-76.3,35,,,,,,,,,,,,,,
19080526,1800,,TS,27.2,-77.3,35,,,,,,,,,,,,,,
19080527,0000,,TS,27.7,-78.1,40,,,,,,,,,,,,,,
19080527,0600,,TS,28.5,-79.1,45,,,,,,,,,,,,,,
19080527,1200,,TS,29.5,-79.5,50,,,,,,,,,,,,,,
19080527,1800,,TS,30.1,-79.5,55,,,,,,,,,,,,,,
19080528,0000,,TS,30.6,-79.2,60,,,,,,,,,,,,,,
19080528,0600,,HU,31.2,-78.8,65,,,,,,,,,,,,,,
19080528,1200,,HU,31.7,-78.3,65,,,,,,,,,,,,,,
19080528,1800,,HU,32.3,-77.9,65,,,,,,,,,,,,,,
19080529,0000,,HU,32.8,-77.4,65,,,,,,,,,,,,,,
19080529,0600,,HU,33.4,-77.0,65,,,,,,,,,,,,,,
19080529,1200,,HU,34.0,-76.5,65,,,,,,,,,,,,,,
19080529,1800,,HU,34.8,-75.8,65,989,,,,,,,,,,,,,
19080529,2100,L,HU,35.2,-75.6,65,989,,,,,,,,,,,,,
19080530,0000,,HU,35.6,-75.1,65,,,,,,,,,,,,,,
19080530,0600,,TS,36.3,-74.6,60,,,,,,,,,,,,,,
19080530,1200,,TS,37.3,-74.0,50,,,,,,,,,,,,,,
19080530,1800,,TS,39.4,-73.0,40,,,,,,,,,,,,,,
19080530,2300,L,TS,41.3,-72.0,35,,,,,,,,,,,,,,
19080531,0000,,TS,41.8,-71.7,35,,,,,,,,,,,,,,
19080531,0600,,EX,43.8,-70.3,35,,,,,,,,,,,,,,
19080531,1200,,EX,45.5,-69.0,35,,,,,,,,,,,,,,
19080531,1800,,EX,46.4,-68.3,35,,,,,,,,,,,,,,
ID,Name,Tracks
AL031908,UNNAMED,43,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
19080724,1200,,TD,27.5,-75.0,30,,,,,,,,,,,,,,
19080724,1800,,TD,27.8,-75.2,30,,,,,,,,,,,,,,
19080725,0000,,TD,28.1,-75.5,30,,,,,,,,,,,,,,
19080725,0600,,TD,28.4,-75.9,30,,,,,,,,,,,,,,
19080725,1200,,TS,28.7,-76.3,35,,,,,,,,,,,,,,
19080725,1800,,TS,28.9,-76.6,35,,,,,,,,,,,,,,
19080726,0000,,TS,29.0,-76.9,35,,,,,,,,,,,,,,
19080726,0600,,TS,29.0,-77.2,35,,,,,,,,,,,,,,
19080726,1200,,TS,29.0,-77.5,35,,,,,,,,,,,,,,
19080726,1800,,TS,28.9,-77.8,35,,,,,,,,,,,,,,
19080727,0000,,TS,28.7,-78.0,35,,,,,,,,,,,,,,
19080727,0600,,TS,28.3,-78.3,35,,,,,,,,,,,,,,
19080727,1200,,TS,27.7,-78.5,35,,,,,,,,,,,,,,
19080727,1800,,TS,27.3,-78.3,35,,,,,,,,,,,,,,
19080728,0000,,TS,27.1,-77.7,40,,,,,,,,,,,,,,
19080728,0600,,TS,27.1,-77.2,55,,,,,,,,,,,,,,
19080728,1200,,TS,27.3,-77.0,60,,,,,,,,,,,,,,
19080728,1800,,TS,27.7,-77.0,60,,,,,,,,,,,,,,
19080729,0000,,TS,28.0,-77.5,60,,,,,,,,,,,,,,
19080729,0600,,TS,28.2,-77.9,60,,,,,,,,,,,,,,
19080729,1200,,TS,28.5,-78.0,60,,,,,,,,,,,,,,
19080729,1800,,TS,29.4,-78.3,60,,,,,,,,,,,,,,
19080730,0000,,HU,30.4,-78.3,65,,,,,,,,,,,,,,
19080730,0600,,HU,31.4,-78.2,70,,,,,,,,,,,,,,
19080730,1200,,HU,32.5,-78.0,70,,,,,,,,,,,,,,
19080730,1800,,HU,33.1,-77.9,70,,,,,,,,,,,,,,
19080731,0000,,HU,33.7,-77.6,70,,,,,,,,,,,,,,
19080731,0600,,HU,34.2,-77.4,70,,,,,,,,,,,,,,
19080731,1100,L,HU,34.6,-77.1,70,,,,,,,,,,,,,,
19080731,1200,,HU,34.7,-77.0,70,,,,,,,,,,,,,,
19080731,1800,,TS,35.2,-75.8,60,,,,,,,,,,,,,,
19080801,0000,,TS,35.6,-74.1,60,,,,,,,,,,,,,,
19080801,0600,,TS,36.1,-72.8,60,,,,,,,,,,,,,,
19080801,1200,,TS,36.5,-71.7,60,,,,,,,,,,,,,,
19080801,1800,,TS,37.2,-70.0,60,,,,,,,,,,,,,,
19080802,0000,,TS,37.8,-68.5,60,,,,,,,,,,,,,,
19080802,0600,,TS,38.7,-66.9,60,,,,,,,,,,,,,,
19080802,1200,,TS,40.0,-65.5,60,,,,,,,,,,,,,,
19080802,1800,,EX,41.7,-63.0,60,,,,,,,,,,,,,,
19080803,0000,,EX,44.0,-60.6,60,,,,,,,,,,,,,,
19080803,0600,,EX,46.3,-58.5,55,,,,,,,,,,,,,,
19080803,1200,,EX,48.5,-56.5,50,,,,,,,,,,,,,,
19080803,1800,,EX,50.6,-54.3,50,,,,,,,,,,,,,,
ID,Name,Tracks
AL041908,UNNAMED,25,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
19080729,0000,,TD,29.6,-94.0,30,,,,,,,,,,,,,,
19080729,0600,,TD,29.3,-93.5,30,,,,,,,,,,,,,,
19080729,1200,,TS,29.0,-93.0,35,,,,,,,,,,,,,,
19080729,1800,,TS,28.7,-92.5,40,,,,,,,,,,,,,,
19080730,0000,,TS,28.4,-92.0,45,,,,,,,,,,,,,,
19080730,0600,,TS,28.1,-91.7,50,,,,,,,,,,,,,,
19080730,1200,,TS,28.0,-91.5,50,,,,,,,,,,,,,,
19080730,1800,,TS,28.1,-91.4,50,,,,,,,,,,,,,,
